2026-07-01T16:51:15.923-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "c" on target
2026-07-01T16:51:15.923-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${c}"
2026-07-01T16:51:15.923-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "c" on target
2026-07-01T16:51:15.923-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${param.cliente == c}"
2026-07-01T16:51:15.923-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "param.cliente == c" on target
2026-07-01T16:51:15.924-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${c}"
2026-07-01T16:51:15.924-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "c" on target
2026-07-01T16:51:15.924-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${c}"
2026-07-01T16:51:15.924-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "c" on target
2026-07-01T16:51:15.924-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "each|e : ${listaEstados}".
2026-07-01T16:51:15.924-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.GenericTokenExpression  : [THYMELEAF][http-nio-8383-exec-1] Evaluating generic token: "e"
2026-07-01T16:51:15.925-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${listaEstados}"
2026-07-01T16:51:15.925-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "listaEstados" on target
2026-07-01T16:51:15.925-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "expr|${param.estado == e}".
2026-07-01T16:51:15.925-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${param.estado == e}"
2026-07-01T16:51:15.925-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "param.estado == e" on target
2026-07-01T16:51:15.925-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "expr|${e}".
2026-07-01T16:51:15.925-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${e}"
2026-07-01T16:51:15.925-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "e" on target
2026-07-01T16:51:15.926-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "expr|${e}".
2026-07-01T16:51:15.926-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${e}"
2026-07-01T16:51:15.926-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "e" on target
2026-07-01T16:51:15.926-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${param.estado == e}"
2026-07-01T16:51:15.926-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "param.estado == e" on target
2026-07-01T16:51:15.926-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${e}"
2026-07-01T16:51:15.926-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "e" on target
2026-07-01T16:51:15.926-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${e}"
2026-07-01T16:51:15.927-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "e" on target
2026-07-01T16:51:15.927-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "each|t : ${listaTipos}".
2026-07-01T16:51:15.927-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.GenericTokenExpression  : [THYMELEAF][http-nio-8383-exec-1] Evaluating generic token: "t"
2026-07-01T16:51:15.927-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${listaTipos}"
2026-07-01T16:51:15.927-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "listaTipos" on target
2026-07-01T16:51:15.927-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "expr|${param.tipo == t.name()}".
2026-07-01T16:51:15.928-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${param.tipo == t.name()}"
2026-07-01T16:51:15.928-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "param.tipo == t.name()" on target
